, es , ls , rx , a8 , a6 , 3series , 5series , 7series , xj , sclass ,model_strings
36,,,,0.375,,,,,,,[u'exactly stated a8 le safe']
37,,,,0.0,,,,,,0.0,"[u'750 luxury a8 especially executive', u'exclusivity 760 sclass a8 w-12', u'760 sclass a8 w-12 exclusive']"
38,,,0.4000000000000001,,,,,,,,"[u""fully loaded rx 's huge"", u""sell 50k rx n't 50k"", u""lexus favor rx n't 50k""]"
39,,,,0.0,,,,0.0,,0.0,"[u'745 lexusls sclass a8 sts', u'lexusls sclass a8 sts converging', u'agility point 7series sport back', u""n't room a8 sclass either"", u'room a8 sclass either m']"
40,,,,,,,,,,0.5,"[u'compare powerful sclass lexusls fair', u'faster compare sclass lsand not', u""lsand not sclass 're glossing"", u'see lsscored sclass performance aspects.for', u'wanted 73k sclass 4 matic', u'add option sclass get feature']"
41,,,0.0,,,,,,,,"[u'mercedes bmw rx rest suvs', u'claim fame rx lexusls sedan']"
42,,,,0.06666666666666665,,,,0.0,0.0,0.3,"[u'nice base a8 470hp sound', u""awfully quiet 7series n't heard"", u""btw remember a8 came '04"", u'engine powerful sclass 302hp 7series', u'sclass 302hp 7series l 325hp', u'l time-290hp xj 294hp audi']"
43,,,,,,,,,0.0,,[u'car especially xj xk think']
44,,,,,,,,,,,[]
45,,,0.0,,,,,,,0.0,"[u""seller rx300 rx 're type"", u'c e sclass mbs simply']"
46,,,,,,,,,,,[]
47,0.0,,,,,,,,,,[u'awd unlike es lot wood']
48,,,,,,,,,,,[]
49,,,,0.0,-0.05,,,,,,"[u'bet audi a6 spun stretched', u'go next a6 a8 well', u'next a6 a8 well one']"
50,,,-0.5,,,,,0.0,,,"[u""unable play rx 's sandbox"", u""want play rx 's sandbox"", u'volume lexuses rx seen status', u""n't target 7series either 'd""]"
51,,,,,,,,,,0.0,"[u'think 382 sclass touch ls460', u'continue outsell sclass time sale']"
52,,,,,,,,,,0.0,[u'dropping price sclass 2k likely']
53,,,,0.0,,,,0.5,,0.0,"[u'whether not 7series drive better', u'hence liking sclass 7series a8', u'liking sclass 7series a8 mushy', u'sclass 7series a8 mushy steering']"
54,,,,,,,,,,,[]
55,,,,,,,,0.0,,-0.3125,"[u'sporty sedan 7series sport s8', u'ditto go sclass buyer see', u'b200 turbo 7series buyer see', u'traffic 2007 sclass thread mean']"
56,,,,,,,,,,0.5,[u'priced a8/7 sclass better lower']
57,,,,,,,,,,,[]
58,,,,,,,,,,,[]
59,,,,,,,,,,0.0,"['', u'760 especially sclass car still', u'hp 5.5l sclass ls460 already', u'mb/bmw/audi especially sclass despite hp']"
60,,,,,,,,,,,[]
61,,,,0.5,0.5,,,,,,"[u'glovebox latest a6 a8 simple', u'latest a6 a8 simple check']"
62,,,,0.0,,,,,,,[u'audi a8/a8l a8 w12 helm']
63,,,,0.20000000000000004,,,,,,,[u'car current a8 huge communication']
64,,,,0.0,,,,,,0.0,"[u""based post sclass board 's"", u'car like a8 come know']"
65,,,,,,,,,,,[]
66,,,0.0,,,,,,,,"[u""since '04 rx lexus automatic""]"
67,,,,,,,,,,0.0,"[u'currentsclass determine sclass somehow trumped', u'not compared sclass different car']"
68,,,,0.7,,,,0.2,,,"[u""sure issue a8 n't issue"", u'performance inference a8 7series young', u'inference a8 7series young people', u'ooppsss lsoutsells a8 745/760 combined', u'make money a8 7series not', u'money a8 7series not niche']"
69,,,,0.06666666666666665,0.0,,,,,,"[u'replacement current a8 correct wrong-doings', u'nice base a8 470hp sound', u'07 v8 a8 a6 model', u'v8 a8 a6 model get']"
70,,,,0.21428571428571427,,,,,,0.13636363636363635,"[u'blunder yet sclass previoussclass/500 could', u'4matic new sclass tack 3k', u'account 20 sclass sale may', u'not awd sclass 4matic likely', u'promote quattro a8 case certain']"
71,,,,0.0,,,,,,0.0,"[u'buy compared sclass however 65k', u'lexusls 745 sclass a8 xjr', u'745 sclass a8 xjr anyway']"
72,,,0.0,,,,,,,0.6,"[u'bar beyond sclass life change', u""ls600hl suspect sclass ls600hl n't"", u'perfect competitor sclass whole argument', u'scenario add rx hybrid reach']"
73,,,,,0.16666666666666666,,,,,,"[u""recalling '98-'04 a6 particularly rear""]"
74,,,0.0,,,,,,,0.0,"[u""mb e320 sclass 's majority"", u'retired except rx owner woman']"
75,,0.0,,0.7,,,,,,0.3,"[u'testing saying a8 mercedes better', u'around track ls trust sclass', u'ls trust sclass loses lexusls', u""much audi a8 ca n't"", u'road contrast sclass others universally', u'year ago.actually sclass edge safety', u'line also sclass pre-safe standard', u'head flip sclass other-hand handy', u'side airbags sclass clk front']"
76,,,-0.3,,,,,,,0.6363636363636364,"[u'pre-refresh mb sclass without new', u'road 2006 rx loses comparo', u'tranny even sclass notably slower']"
77,,,,,,,,,,,[]
78,,,,,,0.0,0.0,0.0,,,"[u'lexusls 5bmw 3series 3bmw 5series', u'3series 3bmw 5series 4bmw 7series', u'5series 4bmw 7series 2mercedes c', u'lexusls 5bmw 3series 4bmw 5series', u'3series 4bmw 5series 4bmw 7series', u'5series 4bmw 7series 2mercedes c']"
79,,,,0.0,,,,,,,[u'one issue a8 w12 yes']
80,,,,0.0,,,,,,,[u'discus 7 a8 lexusls jag']
81,,,,,,0.4000000000000001,0.0,,,,"[u'prefers es330 3series huge number', u'gs430 not 5series competitior sport']"
82,,,,0.0,,,,,,,[u'outreach demand a8 fewer shipped']
83,,,,,0.0,,0.0,,,,"[u'since 2004 5series a6 rl', u'2004 5series a6 rl gs']"
84,,0.25,,0.25,,,,-1.6,,-1.7000000000000002,"[u'sticker sell sclass 7series base', u'sell sclass 7series base price', u'point except sclass a8 745', u'except sclass a8 745 lexusls', u'745 lexusls sclass lease roughly', u'higher residual ls meaning even', u'higher stickered a8 lease le', u'extremely better a8 sadly hear']"
85,,,,,,,,,,0.2727272727272727,"[u'sell new sclass sclass japan', u'new sclass sclass japan sclass', u'sclass japan sclass us especially', u'chance 510hp sclass come performance.m']"
86,,,,,,0.5,,0.0,,0.5,"[u'driven extensively sclass lexusls judge', u'able tell 3series drive test', u'lexusls time sclass many time', u'lswas outselling 7series combined tell']"
87,,,,,,,,,,,[]
88,,,,0.2,,,,,,,[u'much v-12 a8 w12 put']
89,,,,0.0,,,,,,,[u'similar audi a8 v a8l']
90,,,0.0,,,,0.13636363636363635,0.0,,-0.1,"[u'lexusls lexuses rx prove seem', u'look 1981-1991 sclass sec coupe', u'like new 5series still ca', u""n't stand 7series problem 5series"", u""7series problem 5series n't styling""]"
91,,,,,,,,,,0.30303030303030315,"[u'opinion current sclass best styled', u'anything previous sclass best styled', u'talk new sclass looking bad', u'give new sclass base form']"
92,0.13636363636363635,,,0.0,,,0.0,0.8928571428571428,,0.0,"['', u'taillight c-class sclass generation ago', u'look new es nothing collection', u'right 1995 7series better looking', u'styling current a8 came along', u'came along 5series like also', u""better rear 7series 've got"", u'got 92 sclass way way']"
93,,,0.0,,,0.0,,0.0,,,"[u'compare lexuses rx sale not', u'sale title 7series final year', u'compared not 3series car targeted']"
94,,,0.0,,,,,,,,"[u""lexuses beat rx sale 'm""]"
95,,,,0.2727272727272727,,,,0.2727272727272727,,,"[u'search include a8 7series new', u'include a8 7series new redo']"
96,,,,,,,,,,,[]
97,,,0.0,,,,,,,,[u'product lexuses rx order keep']
98,,,,,,,,,,,[]
99,,,,,,,,,,0.0,[u'100k le sclass 40k 760li']
100,,,,0.0,,,,0.0,0.0,0.25595238095238093,"[u'saying single sclass model enough', u'ls460l ls600hl 7series 7seriesl a8', u'7series 7seriesl a8 a8l xj', u'a8 a8l xj methinks not', u'one supplement sclass pretty quick', u'using one sclass maybe possiblesclass']"
101,,0.0,,0.2,,,,0.2,,,"[u'helm line 7series a8 natural', u'line 7series a8 natural outcome', u""outcome evolution ls 's life""]"
102,,,,,,,,,,,[]
103,,,,,,,,,,0.0,[u'different story sclass obviously nothing']
104,,,0.0,,,,,,,,[u'car lexus rx suv aka']
105,,,,,,,,,,,[]
106,,,,,-0.4,,0.0,,,,"[u'gs supposed 5series fighter not', u'behind m45 a6 e 5series', u'a6 e 5series saying drove']"
107,,,,,,,,,,,[]
108,,,,,,,,,,,[]
109,,,0.0,,,,,,,,[u'gotten occasional rx avalon never']
110,,,,,,,,,,,[]
111,,,0.0,,,0.0,,,,,"[u'volume lexuses rx close 100k', u'targetted overtake 3series sale volume', u'year 1/3 3series sale volume']"
112,,,,,,,,,,0.25,[u'first ls460l sclass 750li a8l']
113,,,,0.0,,,,0.0,0.0,,"[u'thesclass lexusls xj almost always', u""always complain 7series sport 's"", u'non amg a8 non r', u'non r xj upcoming s8']"
114,,,,0.25,,,,,,,"[u'particularly 7 a8 not exactly', u""n't considered a8 significant competitor""]"
115,,,,,,,,,,,[]
116,,,,,,,,,,,[]
117,,,,,,,,,,,[]
118,,,,,,,,,,0.0,"[u'demand more-profitable sclass beyond ken', u""fear slowing sclass sale 'll""]"
119,,,,0.5,,,,,,0.7,"[u'case lsvs sclass comparison big', u'even lslost a8 recently interesting', u'put lsagainst sclass admitting lsis', u""superior embattledsclass sclass ca n't"", u""n't correct sclass ever lost""]"
120,,0.6,,,0.0,,0.0,,,,"[u'current gs 5series imo.i agree', u'like interior 5series neither u', u""look nose a6 'm not"", u'nice baby ls showroom rather']"
121,,,,0.0,,,,,0.0,0.0,"[u'imo either sclass ls460l depending', u'either way xj already managed', u'managed beat a8 7 last', u'750 4th a8 bringing rear']"
122,,,,,,,,,,0.0,[u'reflect cl sclass slr 2683']
123,,,,,,,,0.0,,0.0,"[u'virtually difference sclass lsin handling', u'direction competitor sclass always put', u'back day sclass 7series saying', u'day sclass 7series saying moved']"
124,,0.0,0.0,,,,,,,0.21428571428571427,"[u'safety innovation sclass actually end', u'safer 15-year-young ls actually not', u'class notice sclass rated large', u'convertible standard sclass since 1989', u'38,875ml350 38,670 rx 36,025c230 29,970is300']"
125,,,0.0,,,,,,,,[u'lexuses tl rx mdx qx56']
126,,,,0.0,,,,,,,[u'forum 7 a8 l not']
127,,0.0,,,,,,,,0.0,"[u'hear tps sclass cost ls', u'sclass cost ls jillionith time']"
128,,,,0.0,,,,,,,[u'awd system a8 found numerous']
129,,,0.0,,,,,,,,[u'take fx rx anyday qx']
130,,,,,,,,,,0.13636363636363635,[u'challenge new sclass tell-tale sign']
131,,,,,,,,,,,[]
132,,0.5,,0.0,,0.8,,,,,"[u'car drive 3series great car', u'data show ls residual better', u'version audi a8 phaeton run']"
133,,,,0.0,0.0,,0.0,0.0,,-0.25,"[u'won comparo sclass came dead', u'granted previous sclass bmw 7series', u'sclass bmw 7series car remained', u'v thesclass a8 7series germancarfans', u'thesclass a8 7series germancarfans talk', u'recently bought sclass a8 tony', u'bought sclass a8 tony sam', u'lexus come sclass lexusls one', u'one saying sclass sport sedan', u'outhandle aeclass a6 could hang', u'could hang 5series slalom process', u'rep previous sclass trashed soundly']"
134,,,,,,1.0,,,,,[u'lexus.i agree 3series awesome thesclass']
135,,,,0.25,,,,,,,"[u""audi 's a8 today numbers"", u'problem worth a8 sold much']"
136,,,0.0,,,,,,,,[u'core competence rx lexuses lsthat']
137,,,0.0,,,,,,,,[u'focused effort rx lexuses lexusls']
138,,0.0,,,,,,,,0.0,"[u'etc well sclass 90k pop', u'entire class ls add price', u'not like sclass buyer pay']"
139,,,,,,,,,,,[]
140,,,-0.8,,,,,,,,[u'2645 base rx 146 know']
141,,,,0.2159090909090909,,,,,,,"[u'not new a8 way better', u'car like a8 rs4 bolster']"
142,,,,,,,,,,0.13636363636363635,[u'new issue sclass 4 matic']
143,,0.0,,,,,,,,,[u'end lx ls enter 100k']
144,,,,,,,,,,,[]
145,,,0.0,,,0.0,,,,,"[u'dy sale 3series way dependent', u'hay gx rx lexuses lexusls']"
146,,,0.1,,,,,,,0.0,"[u'lexus except rx old man', u""outsells 750li sclass wo n't"", u'sale lexuses rx sub-50k vehicle']"
147,,0.0,,,,,,,,,"[u'idea lexus ls incremental margin', u'incremental margin ls']"
148,,,,,,,,,,,[]
149,,0.25,,,,,,,,,[u'correctly noted ls stellar sale']
150,,0.0,,0.8,,,,,,,"[u'comparo said ls handling greasy', u'comparo picked a8 winner reality2', u'reality2 state a8 share win']"
151,,,,0.3181818181818182,,,,,,,"[u""much better a8 new '04""]"
152,,,,,,,,,,,[]
153,,,,0.0,,,,,,0.6,"[u'like know sclass model lshas', u'never seen sclass lose fight', u'car beat sclass something top', u'u.s worldwide sclass still segment', u""leader far sclass n't say"", u""n't say a8 m""]"
154,,,,,,0.0,,,,,[u'like 07 3series coupe please']
155,,,0.0,,,0.0,,,,0.0,"[u'extension lexuses rx mainstream car', u'car lexuses rx competed 325', u'gs competed 3series 530i 545i', u'extension lexuses rx mainstream car', u'anyone make sclass except mb']"
156,,,,,,,,,,0.2727272727272727,"[u'sell new sclass sclass japan', u'new sclass sclass japan sclass', u'sclass japan sclass us especially']"
157,,0.0,,,,,,,,0.13636363636363635,"[u""d comparo ls 's acceleration"", u'pre-refresh mb sclass without new', u'comparison would sclass']"
158,,,,-0.25,,,,,-0.25,0.6363636363636364,"[u'think 382 sclass touch ls460', u'continue outsell sclass time sale', u""continue outsell sclass 'm sure"", u's450 750 a8 xj seem', u'750 a8 xj seem pointless', u'thesclass new sclass new fancy']"
159,,,,,,,,,,,[]
160,,,-0.1,,,,,,,0.04285714285714286,"[u'trail archaic rx 4 sec', u'sell customer sclass instead s350', u'instead s350 sclass instead ansclass', u'instead ansclass sclass instead sclass', u'sclass instead sclass adjusting equipment', u'plain ice sclass worth ansclass']"
161,,,,-0.025000000000000022,,,,,,0.0,"[u""l won sclass would 've"", u'field true a8 step behind', u'lexusls faced sclass sclass won', u'faced sclass sclass won course']"
162,0.0,,,0.08333333333333334,,,,0.08333333333333334,,,"[u'lexus car es gs except', u'price higher 7series a8 slightly', u'higher 7series a8 slightly newsclass']"
163,,,0.0,,,,,,,,[u'lexuses gs rx gx lx']
164,,,,0.13636363636363635,,,,,,0.43333333333333335,"[u'beholder e sclass style easy', u'look new a8 see grille']"
165,,,,,,,,,,1.9999999999999998,"[u'scto compete sclass primarily 25k', u'bottom line sclass better car', u'dna doc sclass better car', u'score last sclass win everytime', u'cost much sclass sl550 cl55']"
166,,,,0.0,,,,,,,[u'context regular a8 lssales matter']
167,,,,,,,,,,,[]
168,,,0.0,,,0.0,0.0,,,,"[u'like lexuses rx accounting bulk', u'anymore e 5series model cost', u""way c 3series n't car""]"
169,,,,,,,,,,,[]
170,,,0.0,,,0.0,,,,,"[u'dy sale 3series way dependent', u'hay gx rx lexuses lexusls']"
171,,0.25,,,,,,,,,[u'correctly noted ls stellar sale']
172,,,,0.0,,,,0.0,0.0,0.5892857142857142,"[u'saying single sclass model enough', u'ls460l ls600hl 7series 7seriesl a8', u'7series 7seriesl a8 a8l xj', u'a8 a8l xj look like', u'one supplement sclass pretty quick', u'using one sclass maybe possiblesclass', u'quick stand sclass selling rate', u'price current sclass s450 coming']"
173,,,,0.0,,,0.21428571428571427,,,0.0,"[u'would choose sclass 760 0ver', u'version e 5series certainly would', u""n't choose a8 even 7""]"
174,,,,,,,,,,,[]
175,,,,,,,,,,,[]
176,,,,,,,,,,0.55,"[u'price like sclass maybe know', u""mind compete sclass 're calling"", u'thesclass g sclass sound good']"
177,,,,,,,,0.0,0.35,0.9113636363636364,"[u'smoke new sclass freakin gorgeous', u'not big 7series fan admire', u'loved jaguar xj especially newest', u'portfolio.this new sclass one beautiful']"
178,,,,,,0.0,,-0.25,,0.0,"[u""anything past 7series price 've"", u'match person sclass sale last', u'even question sclass eclass matter', u'everyone chasing 3series way year']"
179,,,,,,,,,,,[]
180,,,0.2,,,0.0,,,,,"[u""competition lexus rx 3series 'm"", u""lexus rx 3series 'm probably"", u'artificial insemenation rx clearly best', u'building rx300 rx rx350 dream']"
181,,,,,,,,,,0.4681818181818182,"[u'thunder new sclass important market', u'market world sclass cost 10k', u""ls460 380hp sclass 382hp n't"", u'comparing ls600h sclass lexus want', u""real 600 sclass understand 're""]"
182,,,,,,,,,,,[]
183,,,,,,,,,,,[]
184,,,,0.0,,,,,,,[u'forum 7 a8 l not']
185,-0.15,,-0.15,,,,,,,,"[u'also moved rx gx lx', u'average gs es rx lx', u'gs es rx lx buyer']"
186,,,,0.0,,,,,,,[u'like 745 a8 andsclass would']
187,,,,0.0,,,,,,0.2,"[u'option whereas sclass 30k price', u'cr review sclass lexusls w/sport', u'anywhere difference sclass sclass roughly', u'difference sclass sclass roughly 10k', u""athletic maybe sclass different n't"", u""optional feature sclass n't available"", u'lexusls ultra sclass justifiable enough', u'residual 7 a8 etc fyi.i']"
188,,,,0.0,,,,,,,"[u'b/w driving a8 driving lexusls', u'cog etc a8 plush longer', u'rhetorical question a8 v l']"
189,,,,,,,,,,,[]
190,,,0.0,,,,,,,-0.20000000000000004,"[u""structure/safety cage rx 've already"", u""n't compare sclass lexusls compare"", u""'ve driven sclass difference not"", u'not huge sclass stripped option', u'navigation standard sclass since 2003', u'not mention sclass athletic lsby']"
191,,,0.0,,,,,,,,[u'core competence rx lexuses lsthat']
192,,,,,,,,,0.0,0.0,"[u'last place sclass 6 mercedes-benzsclass', u'79,1452 jaguar xj price tested']"
193,,,,,,0.0,,0.0,,,"[u'hitchhike onto 3series dominance not', u'lsadvertising going 7series flame coming', u'happen enough 7series market share', u'20-inch wheel 7series buyer want']"
194,,,,,,,,,,,['']
195,,,,,,,,,,,[]
196,,,,0.0,,,,,,0.0,"[u'745 xjr a8 sclass lexusls', u'xjr a8 sclass lexusls americans']"
197,,,,,,,,,,,[]
198,,,,-0.08181818181818185,,,,,,,"[u""reliable 7 a8 matter 's"", u'crap new a8 term reliabilty', u'term reliabilty a8 problem first']"
199,,,,,,,,,,,[]
200,,,-0.2916666666666667,0.0,,,,,,,"[u""sell es330s rx 's hardly"", u'well not a8 either see']"
201,,,,,0.0,,,0.0,,0.0,"[u""phaeton cheaper sclass 7series n't"", u""cheaper sclass 7series n't intended"", u'cheaper rival sclass lesser degree', u'lesser degree 7series cheaper car', u'look e500 a6 4.2 find']"
202,,,,0.0,,,,,,0.0,"[u'car luxurious sclass a8 softer', u'luxurious sclass a8 softer leather']"
203,,,0.0,,0.0,0.33636363636363636,0.8,0.0,,,"[u""'ve '00 3series absolute repect"", u'overhaul excluding rx kill rx400h', u'brand new 3series coupe new', u""happy refreshed 5series '08 keep"", u""inline eclass a6 let 's"", u""forget long-awaited 7series '08 sale""]"
204,,,,,,,,,,,[]
205,,,0.33636363636363636,,,,,,,,"[u'ad campaign rx couple year', u'new feature rx yeah saw', u""engineer studying rx n't make"", u'know competes rx lexus really']"
206,,,,,,,,,,,[]
207,,,,,,,,,,,[]
208,,,,0.10714285714285714,,,,,,0.2857142857142857,"[u'right board sclass devauled c-class', u'smart practice a8 a4 different']"
209,0.0,0.0,,,,-0.25,-0.5,,,-0.5,"[u'build gs ls lexuses see', u'trying build 3series 5series sclass', u'build 3series 5series sclass past', u'3series 5series sclass past come', u""machine gs es n't conqured""]"
210,0.0,0.0,,,,-0.25,-0.5,,,-0.5,"[u'build gs ls lexuses see', u'trying build 3series 5series sclass', u'build 3series 5series sclass past', u'3series 5series sclass past come', u""machine gs es n't conqured""]"
211,,,,,,,,,,0.0,[u'derivative w140 sclass said post']
212,,,,0.375,0.375,,,,,,"[u'share vw a8 unique audi', u""'s chassis a6 unique audia4""]"
213,,,0.0,,,,,0.0,,,"[u'peel even 7series buyer expand', u'suv market rx obliteration mid-size']"
214,,,,,,,,,,,[]
215,,,,,0.325,,,,,,"['', u""'s chassis a6 unique audi"", u'bet audi a6 spun stretched']"
216,,,,,,,0.0625,-0.1,,,"[u'example yes 7series may selling', u'selling well 7series remains distant', u'picture solely 7series sale record', u'sale record 7series cost lexusls', u'fact current 7series surpassed record', u'surpassed record 7series 7series outsell', u'record 7series 7series outsell lsfor', u""n't outsell 5series hit major""]"
217,,,0.8,,,,,,,,[u'suvs like rx make great']
218,,,,,,,,,,,[]
219,0.2,0.2,,,,,,,,,"[u'room case ls really would', u'really give es concept reliablity']"
220,,,,,,,,,,0.0,"[u'b/w 75k sclass couple hundred', u'afford lease sclass yet sclass', u'sclass yet sclass sell pitifully']"
221,,,,,,,,,,0.0,"[u""never beat sclass comparo 've"", u'number lsbeats sclass match sedan']"
222,,,,,,,,,,,[]
223,,,,0.0,,,,,,,[u'like 760li a8 w12 world']
224,,,,,0.0,0.0,,,,,"[u'maybe twice a6 actually got', u""test like 3series still n't""]"
225,,0.1,0.35714285714285715,,,0.25,,,,,"[u'swivel headlight rx nothing special', u'word mechanicals rx not utility', u'old ad ls maybe attempt', u'leftover brilliant.that rx ad not', u'mercedes audi rx ad point', u'configuration minivan rx neither point', u'remember car rx ad q7', u'aim squarely 3series buyer pretty']"
226,,,,,,,,,,1.0,"[u'mb make sclass despite 15k', u'best spend sclass get best']"
227,,,,,1.95,,0.0,,,,"[u'lexus interior 5series especially a6', u'5series especially a6 vastly superior', u'prowess 5 a6 better car', u'amazing brilliant a6 interior e430', u'quite dated a6 look sleek']"
228,,,,,-0.4,,,,,,"['', u'poor look a6 iihs']"
229,,,,,,,,,,,[]
