,es,ls,rx,a8,a6,3series,5series,7series,xj,sclass,Posts
29,,,,,,,,,,-0.056249999999999994,"[u'sale v sclass sale shall', u'shall guess sclass outsell s350', u'let compare sclass mean really', u'not outsell sclass not price', u'lscan jump sclass and/or especially', u'and/or especially sclass price difference']"
30,,,,0.0,,,,,,0.5333333333333333,"[u'promise told a8 delivers carmaker', u'buy audi a8 car loser', u'one love sclass not much', u'released picture sclass people quick']"
31,,0.0,,,,,,,,0.4000000000000001,"[u""huge dent sclass sale n't"", u""enough '07 sclass actually sold"", u""percentage '01 ls still climbing""]"
32,-0.15,0.25,0.2857142857142857,,,0.13636363636363635,,0.13636363636363635,,0.25,"['', u'average price es much average', u'c-class sold rx rx msrps', u'sold rx rx msrps right', u'le yet rx crush entire', u'cost gs sclass cost ls', u'sclass cost ls sclass cost', u'cost ls sclass cost scand', u""'ll give rx crush ml"", u'bought lslooked sclass first decided', u'first decided ls like said', u'taper facelifted 7series new 3series', u'7series new 3series 2006 even', u'still remember 3series 100k unit']"
33,,,-0.25,,,0.13636363636363635,,,,,"[u'actually one-up rx laughable rendezvous', u'hair w/o rx budget gmc', u""new comp 3series '07 g35""]"
34,0.0,,,,,,,,,,[u'clk safer es c-class 4-door']
35,,0.0,,0.0,0.1,,,,,0.3,"[u'noted 2007 sclass better wow', u'yes cl sclass arrived dealer', u'last page a8 ls anyway', u'page a8 ls anyway like', u'in-your-face-but-plain noeclass a6 far styling']"
36,,0.5,,0.375,,,,,,,"[u'exactly stated a8 le safe', u'le safe ls see proof']"
37,,,,0.0,,,,,,0.0,"[u'750 luxury a8 especially executive', u'exclusivity 760 sclass a8 w-12', u'760 sclass a8 w-12 exclusive']"
38,,0.0,0.4000000000000001,,,,,,,,"[u'around 3300 ls lx470 alone', u""fully loaded rx 's huge"", u""sell 50k rx n't 50k"", u'compare lexus ls gs430 lx470', u""lexus favor rx n't 50k""]"
39,,0.0,,0.0,,,,0.0,,0.0,"[u'class 745 ls sclass a8', u'745 ls sclass a8 sts', u'ls sclass a8 sts converging', u'agility point 7series sport back', u'sporty derivative ls back either', u'sport outhandle ls euro whatever', u""n't room a8 sclass either"", u'room a8 sclass either m']"
40,,1.05,,,,,,,,1.0,"[u'compare powerful sclass ls fair', u'powerful sclass ls fair anyone', u'compare optioned ls euro-sport v', u'standard even ls equipped option', u'faster compare sclass lsand not', u""lsand not sclass 're glossing"", u'see lsscored sclass performance aspects.for', u'13k le ls standard feature', u'wanted 73k sclass 4 matic', u'thing 62k ls way feature', u'add option sclass get feature', u'world crash ls barely moved']"
41,,0.0,0.0,,,,,,,,"[u'mercedes bmw rx rest suvs', u'claim fame rx ls sedan', u'fame rx ls sedan afterthought']"
42,,,,0.06666666666666665,,,,0.0,0.0,0.3,"[u'nice base a8 470hp sound', u""awfully quiet 7series n't heard"", u""btw remember a8 came '04"", u'engine powerful sclass 302hp 7series', u'sclass 302hp 7series l 325hp', u'l time-290hp xj 294hp audi']"
43,,0.0,,,,,,,0.0,,"[u'repeatedly said ls unsafe exclusion', u'car especially xj xk think']"
44,,,,,,,,,,,[]
45,,,0.0,,,,,,,0.0,"[u""seller rx300 rx 're type"", u'c e sclass mbs simply']"
46,,0.0,,,,,,,,,"[u'needs/desires a8,7 ls something else', u'gravitate toward ls others might']"
47,0.0,0.25,,,,,,,,,"[u'spot motor ls similar ls460', u'slightly smaller ls better space', u'awd unlike es lot wood']"
48,,0.5,,,,,,,,,[u'price reduction ls think many']
49,,,,0.0,-0.05,,,,,,"[u'bet audi a6 spun stretched', u'go next a6 a8 well', u'next a6 a8 well one']"
50,0.0,,-0.5,,,,,0.0,,,"[u""unable play rx 's sandbox"", u""want play rx 's sandbox"", u'compete volume es rx seen', u'volume es rx seen status', u""n't target 7series either 'd""]"
51,,0.0,,,,,,,,0.0,"[u'price 2006 ls rumor turn', u'think 382 sclass touch ls460', u'continue outsell sclass time sale']"
52,,,,,,,,,,0.0,[u'dropping price sclass 2k likely']
53,,0.0,,0.0,,,,0.5,,0.0,"[u'like current ls please explain', u'whether not 7series drive better', u'hence liking sclass 7series a8', u'liking sclass 7series a8 mushy', u'sclass 7series a8 mushy steering']"
54,,,,,,,,,,,[]
55,0.0,0.0,,,,,,0.0,,-0.3125,"[u'sporty sedan 7series sport s8', u""n't understood ls land care"", u'focus bother ls sc430 buyer', u'sc430 buyer es camry leather', u'ditto go sclass buyer see', u'b200 turbo 7series buyer see', u'traffic 2007 sclass thread mean']"
56,,0.0,,,,,,,,0.5,"[u'priced a8/7 sclass better lower', u'despite dishing ls car remains']"
57,,0.125,,,,,,,,,[u'rate current ls higher dts']
58,,0.0,,,,,,,,,[u'hoping learn ls battle supremacy']
59,,,,,,,,,,0.0,"['', u'760 especially sclass car still', u'hp 5.5l sclass ls460 already', u'mb/bmw/audi especially sclass despite hp']"
60,,,,,,,,,,,[]
61,,,,0.5,0.5,,,,,,"[u'glovebox latest a6 a8 simple', u'latest a6 a8 simple check']"
62,,0.2,,0.0,,,,,,,"[u'audi a8/a8l a8 w12 helm', u'ditto lexus ls soon whole']"
63,,,,0.20000000000000004,,,,,,,[u'car current a8 huge communication']
64,,,,0.0,,,,,,0.0,"[u""based post sclass board 's"", u'car like a8 come know']"
65,0.0,,,,,,,,,,[u'like lsand es gs sportier']
66,,,0.0,,,,,,,,"[u""since '04 rx lexus automatic""]"
67,,,,,,,,,,0.0,"[u'currentsclass determine sclass somehow trumped', u'not compared sclass different car']"
68,,0.0,,0.7,,,,0.2,,,"[u""sure issue a8 n't issue"", u'performance inference a8 7series young', u'inference a8 7series young people', u'car like ls ooppsss lsoutsells', u'ooppsss lsoutsells a8 745/760 combined', u'make money a8 7series not', u'money a8 7series not niche']"
69,,,,0.06666666666666665,0.0,,,,,,"[u'replacement current a8 correct wrong-doings', u'nice base a8 470hp sound', u'07 v8 a8 a6 model', u'v8 a8 a6 model get']"
70,,,,0.21428571428571427,,,,,,0.13636363636363635,"[u'blunder yet sclass previoussclass/500 could', u'4matic new sclass tack 3k', u'account 20 sclass sale may', u'not awd sclass 4matic likely', u'promote quattro a8 case certain']"
71,,-0.5,,0.0,,,,,,0.0,"[u'buy compared sclass however 65k', u'need expensive ls 745 sclass', u'ls 745 sclass a8 xjr', u'745 sclass a8 xjr anyway']"
72,,0.0,0.0,,,,,,,0.6,"[u'bar beyond sclass life change', u""ls600hl suspect sclass ls600hl n't"", u'perfect competitor sclass whole argument', u'4 model ls lx scand', u'scenario add rx hybrid reach']"
73,,,,,0.16666666666666666,,,,,,"[u""recalling '98-'04 a6 particularly rear""]"
74,,0.0,0.0,,,,,,,0.0,"[u""mb e320 sclass 's majority"", u'go sc430 ls not life', u'retired except rx owner woman']"
75,0.0,-0.3,,0.7,,,,,,0.3,"[u'share platform es share 25', u'share 25 es total content', u'testing saying a8 mercedes better', u'around track ls trust sclass', u'ls trust sclass loses ls', u'sclass loses ls 0-60 time', u""much audi a8 ca n't"", u'road contrast sclass others universally', u'year ago.actually sclass edge safety', u'line also sclass pre-safe standard', u'head flip sclass other-hand handy', u'side airbags sclass clk front']"
76,,0.0,-0.3,,,,,,,0.6363636363636364,"[u'pre-refresh mb sclass without new', u'road 2006 rx loses comparo', u'tranny even sclass notably slower', u'slower 6-spd ls 6.9 second']"
77,0.35,0.0,,,,,,,,,"[u'never agree ls outselling thesclass', u'true either es entry-level luxury', u'else chasing es even considers']"
78,0.0,0.0,,,,0.0,0.0,0.0,,,"[u'lexus 4lexus es 4lexus gs', u'gs 5lexus ls 5bmw 3series', u'ls 5bmw 3series 3bmw 5series', u'3series 3bmw 5series 4bmw 7series', u'5series 4bmw 7series 2mercedes c', u'lexus 5lexus es 4lexus gs', u'gs 5lexus ls 5bmw 3series', u'ls 5bmw 3series 4bmw 5series', u'3series 4bmw 5series 4bmw 7series', u'5series 4bmw 7series 2mercedes c']"
79,,,,0.0,,,,,,,[u'one issue a8 w12 yes']
80,,0.0,,0.0,,,,,,,"[u'discus 7 a8 ls jag', u'7 a8 ls jag etc', u'pertinent say ls 1 luxury']"
81,0.8000000000000002,0.0,,,,0.8000000000000002,0.0,,,,"[u'afford ride ls 7 nowadays', u'market prefers es 3series huge', u'prefers es 3series huge number', u'gs430 not 5series competitior sport']"
82,,,,0.0,,,,,,,[u'outreach demand a8 fewer shipped']
83,0.41666666666666663,,,,0.0,,0.0,,,,"[u'newer ls320 es lexi not', u'since 2004 5series a6 rl', u'2004 5series a6 rl gs', u'race btw es year older', u'eclass importantly es segment nearly', u'car compete es m']"
84,,0.15,,0.25,,,,-1.6,,-1.7000000000000002,"[u""especially considering ls n't sticker"", u'sticker sell sclass 7series base', u'sell sclass 7series base price', u'point except sclass a8 745', u'except sclass a8 745 ls', u'a8 745 ls sclass lease', u'745 ls sclass lease roughly', u'higher residual ls meaning even', u'higher stickered a8 lease le', u'lower priced ls care car', u'extremely better a8 sadly hear']"
85,,,,,,,,,,0.2727272727272727,"[u'sell new sclass sclass japan', u'new sclass sclass japan sclass', u'sclass japan sclass us especially', u'chance 510hp sclass come performance.m']"
86,,0.0,,,,0.5,,0.0,,0.5,"[u'driven extensively sclass ls judge', u'extensively sclass ls judge read', u'able tell 3series drive test', u'test drive ls v competition', u""'ve driven ls time sclass"", u'ls time sclass many time', u'not know ls keeled like', u'lswas outselling 7series combined tell']"
87,,0.0,,,,,,,,,[u'come lexus ls es250 supposed']
88,,,,0.2,,,,,,,[u'much v-12 a8 w12 put']
89,,,,0.0,,,,,,,[u'similar audi a8 v a8l']
90,0.0,0.0,0.0,,,,0.13636363636363635,0.0,,-0.1,"[u'regardless look ls es rx', u'look ls es rx prove', u'ls es rx prove seem', u'look 1981-1991 sclass sec coupe', u'like new 5series still ca', u""n't stand 7series problem 5series"", u""7series problem 5series n't styling""]"
91,,0.9000000000000001,,,,,,,,0.30303030303030315,"[u'opinion current sclass best styled', u'anything previous sclass best styled', u'lexus especially ls good looking', u'talk new sclass looking bad', u'car like ls classic look', u'ugly according ls classic look', u'give new sclass base form']"
92,0.13636363636363635,-0.25,,0.0,,,0.0,0.8928571428571428,,0.0,"['', u'taillight c-class sclass generation ago', u'look new es nothing collection', u'right 1995 7series better looking', u'styling current a8 came along', u'came along 5series like also', u""better rear 7series 've got"", u'got 92 sclass way way', u'2001 replica ls past prime']"
93,0.0,0.16666666666666666,0.0,,,0.0,,0.0,,,"[u'begin compare es rx sale', u'compare es rx sale not', u'main reason ls outsells rest', u'sale title 7series final year', u'compared not 3series car targeted']"
94,0.0,,0.0,,,,,,,,"[u'quite notice es beat rx', u""es beat rx sale 'm""]"
95,,,,0.2727272727272727,,,,0.2727272727272727,,,"[u'search include a8 7series new', u'include a8 7series new redo']"
96,,,,,,,,,,,[]
97,0.0,,0.0,,,,,,,,"[u'level product es rx order', u'product es rx order keep']"
98,,,,,,,,,,,[]
99,,,,,,,,,,0.0,[u'100k le sclass 40k 760li']
100,,,,0.0,,,,0.0,0.0,0.25595238095238093,"[u'saying single sclass model enough', u'ls460l ls600hl 7series 7seriesl a8', u'7series 7seriesl a8 a8l xj', u'a8 a8l xj methinks not', u'one supplement sclass pretty quick', u'using one sclass maybe possiblesclass']"
101,,0.0,,0.2,,,,0.2,,,"[u'helm line 7series a8 natural', u'line 7series a8 natural outcome', u""outcome evolution ls 's life""]"
102,,,,,,,,,,,[]
103,,,,,,,,,,0.0,[u'different story sclass obviously nothing']
104,0.0,-0.11111111111111112,0.0,,,,,,,,"[u'imitation current ls heavily influenced', u'hand disasterous es look like', u'car lexus rx suv aka']"
105,-0.15000000000000002,,,,,,,,,,"[u""'re far es play game""]"
106,,0.0,,,-0.4,,0.0,,,,"[u'gs supposed 5series fighter not', u'behind m45 a6 e 5series', u'a6 e 5series saying drove', u""n't apply ls type thinking""]"
107,,0.0,,,,,,,,,[u'leader 2004 ls beat everyone']
108,,,,,,,,,,,[]
109,0.0,,0.0,,,,,,,,"[u'dealer show es hand wife', u'gotten occasional rx avalon never']"
110,,,,,,,,,,,[]
111,-0.16666666666666666,,-0.16666666666666666,,,0.0,,,,,"[u'half volume es rx close', u'volume es rx close 100k', u'targetted overtake 3series sale volume', u'year 1/3 3series sale volume']"
112,,,,,,,,,,0.25,[u'first ls460l sclass 750li a8l']
113,,0.0,,0.0,,,,0.0,0.0,,"[u'like thesclass ls xj almost', u'thesclass ls xj almost always', u""always complain 7series sport 's"", u'non amg a8 non r', u'non r xj upcoming s8']"
114,,,,0.25,,,,,,,"[u'particularly 7 a8 not exactly', u""n't considered a8 significant competitor"", u'competitor lexus ls']"
115,,,,,,,,,,,[]
116,,0.4,,,,,,,,,[u'lwb version ls relevant chauffeur-driven']
117,,0.0,,,,,,,,,[u'dissing lexus ls read article']
118,,,,,,,,,,0.0,"[u'demand more-profitable sclass beyond ken', u""fear slowing sclass sale 'll""]"
119,,0.0,,0.5,,,,,,0.7,"[u'case lsvs sclass comparison big', u'even lslost a8 recently interesting', u'put lsagainst sclass admitting lsis', u""superior embattledsclass sclass ca n't"", u""s-class losing ls n't correct"", u""n't correct sclass ever lost"", u'ever lost ls not s-class', u'test put ls spot 1']"
120,0.4,0.6,,,0.0,,0.0,,,,"[u'current gs 5series imo.i agree', u'len relationship es gs300 always', u'awd version es becomes available', u'like interior 5series neither u', u""look nose a6 'm not"", u'convince take ls justify getting', u'nice baby ls showroom rather']"
121,,,,0.0,,,,,0.0,0.0,"[u'imo either sclass ls460l depending', u'either way xj already managed', u'managed beat a8 7 last', u'750 4th a8 bringing rear']"
122,,0.0,,,,,,,,0.0,"[u'reflect cl sclass slr 2683', u'bracket lexus ls gs430 lx470', u'sc430 gs ls lx sold']"
123,,0.0,,,,,,0.0,,0.0,"[u'virtually difference sclass lsin handling', u'thesclass design ls ape entire', u'direction competitor sclass always put', u'back day sclass 7series saying', u'day sclass 7series saying moved']"
124,0.0,0.0,0.0,,,,,,,0.21428571428571427,"[u'safety innovation sclass actually end', u'safer 15-year-young ls actually not', u'class notice sclass rated large', u'convertible standard sclass since 1989', u'except lsand es standard across', u'38,875ml350 38,670 rx 36,025c230 29,970is300']"
125,0.0,,0.0,,,,,,,,"[u'product like es tl rx', u'es tl rx mdx qx56']"
126,,,,0.0,,,,,,,[u'forum 7 a8 l not']
127,,-0.16666666666666666,,,,,,,,0.0,"[u'hear tps sclass cost ls', u'sclass cost ls jillionith time', u'came factor ls previous lsmodels']"
128,,,,0.0,,,,,,,[u'awd system a8 found numerous']
129,,,0.0,,,,,,,,[u'take fx rx anyday qx']
130,,0.46818181818181814,,,,,,,,0.13636363636363635,"[u'dead without ls yes many', u'challenge new sclass tell-tale sign', u'nervous new ls sure mb']"
131,,,,,,,,,,,[]
132,,0.75,,0.0,,0.8,,,,,"[u'car drive 3series great car', u'data show ls residual better', u'prefer 745 ls residual value', u""v 96 ls interested 's"", u'version audi a8 phaeton run']"
133,,0.5,,0.0,0.0,,0.0,0.0,,-0.25,"[u'my2004 release ls won comparo', u'won comparo sclass came dead', u'better performance ls ask oac', u'get seriously ls drove keeled', u'granted previous sclass bmw 7series', u'sclass bmw 7series car remained', u'mercedes supportive ls seat particular', u'car like ls v thesclass', u'v thesclass a8 7series germancarfans', u'thesclass a8 7series germancarfans talk', u'recently bought sclass a8 tony', u'bought sclass a8 tony sam', u'lexus come sclass ls one', u'come sclass ls one saying', u'one saying sclass sport sedan', u'outhandle aeclass a6 could hang', u'could hang 5series slalom process', u'class said ls drove taste', u'care handling ls so-called euro', u'rep previous sclass trashed soundly']"
134,0.0,0.4000000000000001,,,,1.0,,,,,"[u'hit addition ls see huge', u'hurting someone es slouch scand', u'there.but see ls still think', u'lexus.i agree 3series awesome thesclass']"
135,,,,0.25,,,,,,,"[u""audi 's a8 today numbers"", u'problem worth a8 sold much']"
136,0.0,0.0,0.0,,,,,,,,"[u'core competence rx es lsthat', u'competence rx es lsthat account', u'model like ls fan act', u'unit like ls year m']"
137,0.5,0.5,0.0,,,,,,,,"[u'focused effort rx es ls', u'effort rx es ls reaching', u'rx es ls reaching magical']"
138,,0.43333333333333335,,,,,,,,0.0,"[u'etc well sclass 90k pop', u'entire class ls add price', u'not like sclass buyer pay', u'900/mth inferior ls easily scared']"
139,,0.5,,,,,,,,,"[u'much better ls people gladly', u'lot cheaper ls finally let']"
140,,-0.8,-0.8,,,,,,,,"[u'2645 base rx 146 know', u'3,796s v ls lsis often', u'2295 base ls loaded e500', u'10,495 loaded ls explain sl500']"
141,,,,0.2159090909090909,,,,,,,"[u'not new a8 way better', u'car like a8 rs4 bolster']"
142,,,,,,,,,,0.13636363636363635,[u'new issue sclass 4 matic']
143,-0.18181818181818182,0.0,,,,,,,,,"[u'end lx ls enter 100k', u'sporty rather es future lexus', u'sorry new es sell briskly']"
144,-0.25,0.15000000000000002,,,,,,,,,"[u'protect torso ls side curtain', u'front seat ls side airbags', u'offer device es ls not', u'device es ls not sure', u'link available ls sc430 lx', u'incorporate system ls even today']"
145,0.1,0.1,0.0,,,0.0,,,,,"[u'dy sale 3series way dependent', u'hay gx rx es ls', u'gx rx es ls increasingly', u'rx es ls increasingly far']"
146,0.0,0.0,0.1,,,,,,,0.0,"[u'lexus except rx old man', u'version next ls sport car', u""outsells 750li sclass wo n't"", u'majority sale es rx sub-50k', u'sale es rx sub-50k vehicle']"
147,,0.0,,,,,,,,,"[u'idea lexus ls incremental margin', u'incremental margin ls']"
148,,,,,,,,,,,[]
149,,0.25,,,,,,,,,[u'correctly noted ls stellar sale']
150,,0.0,,0.8,,,,,,,"[u'comparo said ls handling greasy', u'comparo picked a8 winner reality2', u'reality2 state a8 share win']"
151,,,,0.3181818181818182,,,,,,,"[u""much better a8 new '04""]"
152,,,,,,,,,,,[]
153,,,,0.0,,,,,,0.6,"[u'like know sclass model lshas', u'never seen sclass lose fight', u'car beat sclass something top', u'u.s worldwide sclass still segment', u""leader far sclass n't say"", u""n't say a8 m""]"
154,,,,,,0.0,,,,,[u'like 07 3series coupe please']
155,0.0,,0.0,,,0.0,,,,0.0,"[u'performance extension es rx mainstream', u'extension es rx mainstream car', u'mainstream car es rx competed', u'car es rx competed 325', u'gs competed 3series 530i 545i', u'performance extension es rx mainstream', u'extension es rx mainstream car', u'anyone make sclass except mb']"
156,,,,,,,,,,0.2727272727272727,"[u'sell new sclass sclass japan', u'new sclass sclass japan sclass', u'sclass japan sclass us especially']"
157,,0.16666666666666666,,,,,,,,0.13636363636363635,"[u'older crowd ls caters neither', u""d comparo ls 's acceleration"", u'pre-refresh mb sclass without new', u'comparison would sclass']"
158,,0.65,,-0.25,,,,,-0.25,0.6363636363636364,"[u'price 2006 ls rumor turn', u'think 382 sclass touch ls460', u'continue outsell sclass time sale', u""continue outsell sclass 'm sure"", u's450 750 a8 xj seem', u'750 a8 xj seem pointless', u'thesclass new sclass new fancy', u'experience better ls ls460 win']"
159,0.0,0.0,,,,,,,,,"[u""oac put es 's close"", u""'s close ls requested es350""]"
160,,,-0.1,,,,,,,0.04285714285714286,"[u'trail archaic rx 4 sec', u'sell customer sclass instead s350', u'instead s350 sclass instead ansclass', u'instead ansclass sclass instead sclass', u'sclass instead sclass adjusting equipment', u'plain ice sclass worth ansclass']"
161,,0.0,,-0.025000000000000022,,,,,,0.0,"[u""l won sclass would 've"", u'field true a8 step behind', u'2001 time ls faced sclass', u'ls faced sclass sclass won', u'faced sclass sclass won course']"
162,0.0,,,0.08333333333333334,,,,0.08333333333333334,,,"[u'lexus car es gs except', u'price higher 7series a8 slightly', u'higher 7series a8 slightly newsclass']"
163,0.0,,0.0,,,,,,,,"[u'12 lexus es gs rx', u'es gs rx gx lx']"
164,,-0.625,,0.13636363636363635,,,,,,0.43333333333333335,"[u'make case ls mean ls', u'ls mean ls stylistically challenged', u'beholder e sclass style easy', u'look new a8 see grille']"
165,,,,,,,,,,1.9999999999999998,"[u'scto compete sclass primarily 25k', u'bottom line sclass better car', u'dna doc sclass better car', u'score last sclass win everytime', u'cost much sclass sl550 cl55']"
166,,,,0.0,,,,,,,[u'context regular a8 lssales matter']
167,0.5,0.5,,,,,,,,,"[u'day saw ls es sc430', u'saw ls es sc430 stylish']"
168,0.0,,0.0,,,0.0,0.0,,,,"[u""'s competitor es not 325i"", u'sale like es rx accounting', u'like es rx accounting bulk', u'sale lexus es fwd blue-hair', u'anymore e 5series model cost', u""way c 3series n't car"", u""vehicle target es mb 's""]"
169,0.0037878787878787845,0.5363636363636364,,,,,,,,,"[u'free fall ls year course', u'see new ls would not', u'said new es ugly ugly', u'car successful es clearly lot']"
170,0.1,0.1,0.0,,,0.0,,,,,"[u'dy sale 3series way dependent', u'hay gx rx es ls', u'gx rx es ls increasingly', u'rx es ls increasingly far']"
171,,0.25,,,,,,,,,[u'correctly noted ls stellar sale']
172,,,,0.0,,,,0.0,0.0,0.5892857142857142,"[u'saying single sclass model enough', u'ls460l ls600hl 7series 7seriesl a8', u'7series 7seriesl a8 a8l xj', u'a8 a8l xj look like', u'one supplement sclass pretty quick', u'using one sclass maybe possiblesclass', u'quick stand sclass selling rate', u'price current sclass s450 coming']"
173,,0.0,,0.0,,,0.21428571428571427,,,0.0,"[u""family '05 ls car not"", u'would choose sclass 760 0ver', u'version e 5series certainly would', u""n't choose a8 even 7""]"
174,,0.13636363636363635,,,,,,,,,[u'selling new ls nonsense think']
175,,,,,,,,,,,[]
176,,,,,,,,,,0.55,"[u'price like sclass maybe know', u""mind compete sclass 're calling"", u'thesclass g sclass sound good']"
177,,,,,,,,0.0,0.35,0.9113636363636364,"[u'smoke new sclass freakin gorgeous', u'not big 7series fan admire', u'loved jaguar xj especially newest', u'portfolio.this new sclass one beautiful']"
178,,0.0,,,,0.0,,-0.25,,0.0,"[u""anything past 7series price 've"", u'70k like ls bmw lot', u'match person sclass sale last', u'even question sclass eclass matter', u'everyone chasing 3series way year']"
179,,,,,,,,,,,[]
180,,,0.2,,,0.0,,,,,"[u""competition lexus rx 3series 'm"", u""lexus rx 3series 'm probably"", u'artificial insemenation rx clearly best', u'building rx300 rx rx350 dream']"
181,,,,,,,,,,0.4681818181818182,"[u'thunder new sclass important market', u'market world sclass cost 10k', u""ls460 380hp sclass 382hp n't"", u'comparing ls600h sclass lexus want', u""real 600 sclass understand 're""]"
182,,,,,,,,,,,[]
183,,,,,,,,,,,[]
184,,,,0.0,,,,,,,[u'forum 7 a8 l not']
185,-0.15,1.575,-0.15,,,,,,,,"[u""original point ls n't handle"", u'especially concerning ls say circle', u'also moved rx gx lx', u'gs picked es spouse sc', u'really converting ls people trade', u'average gs es rx lx', u'gs es rx lx buyer', u'clueless find ls best driving']"
186,,,,0.0,,,,,,,[u'like 745 a8 andsclass would']
